name,desc,rating
 Dwi Rahayu , bagus deh.. terpenting praktis buat aku yg kadang tidak sempat harus menggunakan bedak dan macam-macamnya. bentuknya juga kecil sehingga tidak memenuhi tas.. ,4.8
 Putri Sugihartini , Powder + sunscreen unik bgttt! Yg aku suka bgt itu praktis untuk touch up sunscreen dan gampang dibawa kemana mana. But untuk efektivitas i personally ngerasa kurang karna yg kluar bubuk dan ngga trlihat dibanding kalau pake sunscreen biasa. Tapi aku rekomen kalian reapply sunscreen biasa plus di finish pake si npure sun powder ini and hasilnya matte ngga minyakan jd bagus 🥰 ,4.8
 dyandra zafira ," Aaa suka 🥺 mudah di apply kpan pun , jd klo aktifitas bawa ini kemana mana tinggal touch up aja. sunscreen powder paling the best! di muka bagus bngt buat ngurangin minyak tapi tetep keliatan glowing . mudah di aplikasiin krna brush nya lembut  ",4.8
 nur hidayah , Packagingnya imut jadi bisa di bawa k mana2 harganya juga worth it karna dia kan fungsi utamanya sunscreen pas di pake juga bnr2 matte finish hasilnya suka bgt sih karna emang bagus produknya ngebantu bgt ketika harus reapply sunscreen tapi dalam posisi pake makeup ini ngebantu karna aku g harus ribet2 hapus dulu makeup trs reapply sunscreen skrng jadi mudah tinggal langsung pake aja apalagi g perlu ribetw cari2 spons atau brush karna udah ada brushnya sendiri yg lembut banget pokoknya recommend bgt sih kalian harus cobain apalagi yg sering pake makeup ini worth it buat di cobain ,5.0
 Aura Nixie ," pokoknya bagus deh enak banget buat dibawa kemana mana, tinggal di apply aja ke muka, sekalian kayak touchup bedak. nice improvement npure ! sukaaaaaaa ",5.0
 Syarifah Rosita_Dewi ," Packagingnya compact banget, lumayan buat touch up bedak 😁. Sejauh ini cocok2 aja pake ini produk, cuman emang agak kurang keliatan warnanya..😶😶😶😶 ",4.5
 Alintya Wulan , Knapa dipake biasa aja ya.  Seperti tdak keluar bubuk bedaknya. Apa saya salah cara pakainya. Tapi sudah benar kok. Jadi tidak efisien.  Hehehehehehheheheh  ,3.8
 titi puspi , sekarang aku udah gak pernah absen lagi make sunscreen berkat produk ini sumpah bagus banget dan cocok dikulit aku buat kalian yg punya masalah  kulit dama kayak aku wajib coba ,5.0
 Shabrina Zummi ," baru pertama kali nemuin sunscreen yang bentuknya powder gini, unikk bgt sihhh😍. cocok bgt nih buat reapply makeup dan bikin makeup tambah flawless, aplikator brush nya juga lembut bgt jadi gak sakit pas di tap tap di wajah, tapi agak sedikit susah ya ngeblend nya harus butuh waktu yang agak lama. over all good🔥 ",4.3
 Virgiani Wiriandhari ," Aku excited banget sama produk ini, soalnya praktis banget. Ukurannya yang ga terlalu besar ini masuk dalam travel friendly dan easy going😍 ga perlu bawa applicator lagi soalnya udah ada brush dalam packaging dan ga perlu ribet ribet buat tumpahin powder gitu, tinggal pakai aja pokoknya. Packagingnya 10/10 ⭐️!!! Dan wownya lagi powder ini ada SPF 30 PA++++ yang kalo di pakai bisa setelah Cica Beat The Sun Screen jadi combo yang wow 🔥🔥🔥 Finish produk ini tuh matte jadi enak banget deh kalo langsung pakai masker non medis. Secinta itu sama produk ini, karena memudahkan aku buat reapply sunscreen 😉 ",4.8
 Roseline oca ," I just dont know how to use this product, i ve been watching how to use it but still didnt work well on me. somehow the powder not even there (on) the brush ",3.0
 Devi Afiana ," Awal penggunaan bedak tidak kunjung keluar setelah di coba di tepukan ke punggung tangan, kemudian tutup bedak bagian bawahnya sempat terbuka akhirnya bedaknya tumpah, mungkin ini tempat refill bedaknya ya, jadi sayang belum dicoba sudah tumpah. Baunya seperti sunscreen, dan karena ramping bisa hemat tempat di pouch.  ",3.8
 meitia rahmah ," produknya praktis dan enak buat reapply dan buat ngeset sunscreen sebelumnya yang terlalu dewi, mantul sih buat oily skin aku ngebantu bgt. wajib dibawa terus  ",4.3
 Lucyana carlos , Butirannya haluzzz.. ringan qaqa. Easy to brush. Ciamikcantik dan yang penting terhidar dr sun sun 😊 thank you npure i like this product ⭐️⭐️⭐️🤩🤩🤩⭐️⭐️⭐️❤️❤️❤️❤️ ,5.0
 Kezia Sarah ," bagus, finishnya matte tapi ga terlalu matte jadi pas kayak natural healthy skin aja. packagingnya aman tapi pas dibuka, bedaknya dah mleber gitu jadi agak berantakan. mungkin kalo lebih dipas in trs lebih klik mungkin dh mantap jiwa. overall worth it. 💋💋💖💖💖💋💖💋 ",4.3
 andari oktriyani ," jadi rajin reapply sunscreen karna ada ini, karna ga ada warnanya jadi seneng aja brush2 muka pake ini. tapi tutup botolnya baru beli udah ngecrack :( ",5.0
 Anisyah M ," Dapet beli produk ini lagi diskon dan banyak seliweran dimana2 jadi tertarik pengen beli, cuma 1 shade semoga cocok buat aku next bakal aku review lgii ",4.3
 Irmayanti Tarigan ," Baru nyoba ni sunscreen model tabur kek gini, agak seneng sih krn main tap2 aja jd ngak usah pake tangan aplikasikan nya, semoga membantu di sela2 kegiatan di luar ruangan ya ",4.0
 Putri Pertiwi , packagingnya lucu! enak sih kalau mau pakai ulang ga perlu oles oles ke tangan kaya mau pakai sunscreen. lebih praktis aja langsung sreeeeeeeeeeeeeeeeet. ,4.0
 Tricia Wibisana ," Ini sebenernya bingung bedaknya keluar apa nggak tiap dipake, harusnya sih keluar ya. Karena muka jadi kering. Cuma seringkali berasa ga pake apa apa yang bikin ujungnya insekyur terus reapply sunscreen. Lebih percaya pake spray punya sih, tapi nanti makeup geser kalau spray ",4.0
 Aurelia Ngadiman ," Pertama kalinya coba sunscreen powder>< awalnya bingung si ini udah keluar apa belum ya powdernya.. karena translucent juga jadi ga terlalu keliatan, tapi pas dicoba terasa dan keliatan ada powder yg bertaburan gitu pas disapu ke muka. Overall oke si dan lebih praktis juga buat reapply sunscreen^^ ",4.0
 luthfianti fanani ," spechlesss banget pas cobain produk ini, keren banget, unik dan praktis. teksturnya lembut dan bikin tampilan makin matte tapi ga bikin kering, lalu cara applynya super simple dan mudah dibawa kemana mana. suka banget sama produk ini. love it. ",5.0
 Annisa Salsabila ," bener bener Suka banget sama sun powder ini, finish nya bener bener mate.dan ini, suda 30spf, ini sangat bagus dan praktis buat di bawa kemana-mana aku suka banget sama bentuknya yg mungil, well ini bakal jadi powder favorit aku sih, belum ada yang ngalahin ini juga ",5.0
 Yolanii rilza ," pertama kali nyobain sunscreen dalam bentuk powder, keren banget sih, bentuk nya lucu, gampang di reapply karna bentuknya powder, dan juga ada kuasnya, lucu banget, wajib bgt di repurchase. ",5.0
 Arista Andeje ," Beli produk ini karena tergiur sama packagingnya yg simple banget!😃 Kalo lagi diluar dan butuh buat touch up, sering ribet kalo harus bawa bedak yang gede dan puffnya. Kalo pake ini jadi simple! Mungkin buat pelindung dari matahari sedikit kurang, masih harus pake sunscreen. But its okey, still worth tho!👌🏻 ",4.5
 Annisa Nurshanty ," cara pake nya agak susah (bangett)  karena dia gagitu keliatan teksturnya, tapi buat reapply sunscreen ini membantu banget dan gabikin berminyakk juga, mate finish ",4.3
 Selizar Effendy ," Seneng sama produk ini karena aplikatornya brush dan teksturnya powder, ngebantu buat kulit yg berminyak. SPF nya 30 UVA/UVB, dan wajib direapply setiap 2 jam sekali. ",4.0
 Ria Nidya ," Recommended banget sama Sunscreen Powder ini, dan ini kali pertama aku pakai sunscreen powder sekarang udah ga pake bedak lagi deh... karena ada Sunscreen powder dari Npure ini dan ga ngebuat muka berat juga walaupun aku apply beberapa kali  jujur cinta banget sama ini produk ❤❤❤ ",5.0
 Adinda Salwa ," emang bagus banget si cica powder ini, ga bikin make up geser juga pokoknya si luv banget sama produk npure yang 1 ini, yu gaes buruan dicoba jangan sampe ketinggalan lohh ",5.0
 yolanda sirait , suka banget sama produk ini. aku jadiin setting powder waktu setting powder ku habis 😂 dan dia bekerja dengan baik. Make-upnya ga transfer ke masker. packagingnya bagus dan bikin gampang diaplikasiin ke wajah. kecil juga produknya jadi enak dibawa kemana - mana ,4.8
 kamilah jaidi  Aesthetic Doctor ," Jujur paling ga ngerti inovasi yang begini, proteksinya bener2 ga akan maksimal, ini lebih untuk reapply tapi pun kurang maksimal menurut saya. Karena kalo bicara sunscreen bukan sekedar inovasi yapi harus dipertimbangkan segi proteksinya  ",3.5
 Fivit Husein ," Pembelian terbaik aku sih ini, powder yg halus dan ringan, sunscreen lg, re-apply sunscreen pake ini praktis pakek bgtttt, travel friendly packagingnya, ada kuasnya sebuah bonus super super luvvv  ",5.0
 maya sts ," suka sama packagingnya. simpel, lucu, travel friendly. memudahkan banget. jadi gampang kalau mau re apply sun scren. bentuknya bubuk gitu, jadi nggak bikin wajah kelihatan berminyak. ini udah repurchase botol ke 2. 😊 ",4.0
 iinira Prastiwi ," udah lama banget aku pake cica beat the sun powder ini dan dia itu awet si udah beberapa bulan belum habis ,cica beat the the sun powder ini cuma buat apply di wajah aja saat di luar ruangan jadi ngebantu banget si engga perluh makeup2 ulang. ",5.0
 ramadani sri ," Dipakai enak sih untuk reapply sunscreen ini termasuk cara yang mudah dan nyaman tapi karena kulit aku jenisnya normal to dry agak kering kalau pakai ini sih, tp sofar tetap dipake dan gak ada efek yang berarti ",4.8
 arien akhmad ," Beli ini tujuannya agar lebih mudah reapply SS. Brushnya lembut dan packagingnya simple, tapiii powdernya susah sekali utk keluar. Bikin meragu, ini udh ada powdernya blm si di muka saking ga ada  rasa apa2. Utk merasakan ada lapisan powder, harus sabar2 tap2 di muka atau kalo udh gemes, aku buka tutup powdernya, tuang ke tangan baru apply ke wajah. Jempol utk Npure utk SS powder, tp kalo boleh saran mgkn perlu ada revisi botol/packaging for friendlier user experience n more effective result??!  ",3.8
 poppy lumempouw ," Semuanya ok! Kecuali colornya aja, keputihaaaaaaaaaan banget di muka gue. Coba ada pilihan warna biar samain gitu sama skin tona kita pasti cuakeppppppp ",4.0
 Jane Gunawan ," Agak susah keluar bedaknya dari brush nya, awal awal butuh di kocok kocok agak keras biar turun bedaknya. Warna bedaknya sangat subtle, cocok kalau untuk makeup natural, cenderumg tidak ada coverage, tidak cocok untuk yang menginginkan makeup tertutup  ",2.8
 Nervi F ," size cukup kecil dan mudah dibawa, praktis untuk reapply sunscreen. teksturnya powder jadi terasa seperti retouch make up. cukup oke untuk dibawa sehari hari ",4.6
 Najwa cantika ," Gausah ribet lg kalau mau tambah spf lg di atas makeup,dia ga bikin makeup geser sama sekali❌apa lagi bikin dempul❌,cuma kekurangan nya ada 1 susah banget ngeluarin produk nya😭🙏🏻,tapi sejauh ini ⭐️⭐️⭐️⭐️  ",4.0
 rembulan selaras , Solusi paling solutif buat reapply sunscreen dan bisa sekalian touch up jadi gak perlu repot-repot buat bawa bedak lagi. Sangat membantu untuk kaum mageran sepertiku yang ingin sat set sat set  ,4.5
 amalia madyasari ," Ini simpel banget kalau untuk dibawa kemana-mana sangat praktis, aplikasi di kulit wajah juga gampang tidak perlu harus pakai cermin di jamin aman tidak berantakan. sangat ringan dan cocok untuk warna kulit apapun. love!! ",5.0
 anisa novitasr ," Maaf yah ini gampang banget bocor :(, untuk teksturnya sendiri bagus sih cuma syaang bangeet di packagingnyaa. Mungkin bisa jadi bahan evaluasi ya npure! ",3.8
 Lisa Kristanti ," Ini tuh bagus, bikin bagus makeup plus mengandung spf jg kan. Cmn kekurangannya ngeluarin produknya susah. Jdnya mesti buka tutup bawahnya itu. Cb di evaluasi lg yaa min ",3.8
 Annisya Salsabila , ini produk bagus bgt dan gampang dibawa kemana mana sejatuh cinta itu sm produk ini cuma packingnya agak licin jadi gampang gelinding dan kmrn pecah 😭 ,4.8
 ghisya larina ," powdernya transparant jadi cocok untuk semua shade kulit ,   tempatnya juga cocok untuk travel size,  price cukup affordable so far so good untuk powder sunscreen🥰 ",4.3
 Renita Pertiwi ," penasaran sama produk ini dan akhirnya beli setelah ada promo 🤭 secara tekstur ini bagus dan praktis buat reapply sunscreen. Yang kurang dari produk ini cuma 1, bulu kuasnya gampang copot gitu jadi keliatan gak rapih. Tapi untuk yg lainnya dari produk ini sih udh oke banget. ",4.5
 Gabrielle Nathasya ," aku beli ini keracun ofc n juga aku tipe yg prioritasin sunscreen di kulit aku makanya aku percaya in brand ini, blm seminggu pake but semoga aku suka n product nya ok biar ga gonta ganti lagi ",4.0
 Tsaniya Salman ," i using this sunscreen fo reapply everydayy, i love the textureee and it’s easier to have this sunscreen powder fo reapply ur sunscreen, veryyy simplee💗 ",5.0
 Lulu Alaydrus ," Bagus siih, packaging juga oke, praktis, sayangnya di muka aku jadi abu2 😌.. tp lumayan lah untuk touch up2 didalam rumah aja, kalo untuk keluar rumah mending pake yg lotion aja, yg g ada warnanya 🥰 ",4.3
 putri ri , Pemakaiannya kurang bedak yg keluar juga sedikit dan sepertinya juga membuat kulit jadi terlihat lebih gelap. Bedak yang keluar juga sedikit jadi harus ekstra ,2.8
 larasati aulia ," Suka sih sama kemasan yg simple kaya gini… biasanya aku pake ini kalo sunscreen lotion aku look nya terlalu basah berminyak, jd aku set pake powder ini,, hasilnya sheer sihh oke banget ngga bikin dempul… gampang diratain nya juga… menurutku sih ini kaya bedak biasa yaa,, ngga ada yg special selain dr kemasan dan ada kandungan cica nya ",4.5
 Yenny Than ," TERBAIK BANGET!!! Paling ga bisa skip sunscreen terutama kalau tau bakal beraktivitas di luar rumah. Dulu sempet bingung pilih produk utk re-apply sunscreen, tapi semenjak ketemu produk ini bener bener life changing deh! Super praktis utk dibawa kemana-mana utk re-apply sunscreen dan bikin minyak minyak di muka bye-byeeeee! 🤣 bakal repurchase kalau sampe produk ini habis 🥰 ",5.0
 lingling ling , produk n purw emang manteo banget si bisa kepikiran buat sunscreen berbentuk powder. Overall suka banget si sama produknya apa lagi emang sangat unik  ,5.0
 Rivanda Rizki ," Sunscreen powder yang pertama kali dicoba.. enak sih untuk touch up sunscreen karena gak perlu ribet, aplikator juga oke, produk juga, bakaln repurchase  ",4.0
 Eriana LcfZ , Belepotan banget wkwkwk ternyata bagian bawahnya ga bole diputer ambyar dah isinya hampir ilang 1/4. Sebenarnya bagi aku sunscreen powder ini kurang praktis sih butuh effort buat ngeluarin isinya . Biasanya aku tap-tap in dulu di punggung tangan abis itu baru apply ke muka which is ga praktis sih . Kalo langsung ke muka gtu aja bisa geser makeup dan keluarnya juga susah bet. Dan kuasnya gak bisa dibongkar pasang jd ya bersihin aja pake brush cleaner + tissue . Ga bakal repurchase sih karna aku lebih cocok dan nyaman pake sunscreen yg tipe spray buat reapply sunscreen .  ,3.5
 nisa finisha , Enakk bgt dpakai. Udah ga males reaplly sunscreen lagi semenjak ada produk npure ini. Hbs wudhu bs touchup lgsg pakai sunscreen rasa bedak ini. Harganya sih mayn yaaa ,4.8
 Amalia Yustisia ," Pertama kali lihat produk ini di sociolla, saya jadi inget sm sunblock powder yang saya punya di rumah colorescience yg harganya menguras kantong. Karena harga produk N'pure ini cukup ramah kantong n kemasannya mirip sama sunblock powder yang saya punya, saya tertarik bwt coba2 (siapa tahu cocok). Setelah saya coba dan saya bandingkan, saya cukup terkesan dengan ketahanannya dan kepraktisannya yang mirip dengan colorescience sunforgettable yang saya punya. Tapi utk texture masih sedikit kurang finely milled. Overall, saya suka produk ini, TAPI....pas saya pakai di wajah saya, color swatchnya itu lho...plis gak cocok sm kulit saya dan jatohnya jd rada keabu2an. Mgkn sebagai saran saya utk N'pure dalam pengembangan produk ini, saya minta untuk memberikan varian swatch warna kulit yg lebih variatif sesuai dgn undertone unik setiap orang yg beda2, cth: cool, warm, neutral. Atau kl mau simple, bikin aja utk universal skintone yg transparent yg bs dipakai utk smua undertone. Itu sekedar masukan dari saya. Oh ya, utk pengaplikasian maksimal produk ini, biasanya saya g pake produk ini lgsg ke wajah saya dgn menggunakan brush defaultnya. Saya lebih suka pake produk ini dgn kabuki brush yg bulu2nya cukup rapat biar hasilnya rapih. Tp kl mau pake langsung dgn brush defaultnya sih oke oke aja krn lebih simple dan cocok bwt travelling. Akhir kata, saya sbnrnya suka produk ini krn ramah kantong n travel friendly, tp saya agak krg suka sm color swatchnya yg gak nyatu sama undertone kulit saya. Bagi yang ingin menggunakan sunblock powder ramah kantong yg gampang pengaplikasiannya (cocok buat re-apply) dan sangat travel friendly dgn SPF yang baik dan memadai (kl bisa ada yg varian SPF 50 broad spectrum jg) serta cocok dgn undertone kulit kalian, saya rasa produk ini sangat cocok buat kamu. It is trully recommended product, you must try! ",4.3
 Fransiska Siska , Solusi praktis buat touch up sunscreen kalo lagi pake make up. Tinggal disapuin brushnya ke muka dan beres. Cuma kalo udah agak lama mesti dipastiin produknya keluar atau gak.  ,4.5
 pricilia stephani , bagus benget powder ini. tekturnya halus banget. aku pake bedak ini barengan sama sunscrenya. aku jg pake waktu pagi hari dan bawa kemana-mana buat touch up ,5.0
 Siska wanda ," Solusi kalau lagi cepet-cepet pergi dan membantu menahan minyak di wajah serta melindungi kulit wajah dari paparan sinar matahari, packaging enak dibawa kemana saja ",4.0
 Anisa Tsabatini ," Sekarang sunscreen dalam bentuk powder lagi trend nih ..
Salah satunya, adalah produk terbaru dari @npureofficial, NPURE Cica beat the sun powder.. SPF 30 PA +++. Tekstur nya ringan, pengaplikasian diwajah sangat mudah, praktis dibawa kemana2 karena bisa reapply diatas makeup  ",5.0
 Brigitha Rewa , NOT WORTH IT! For reapplication this stuff not it. You don’t know how much you put it on and the amount of the product dispersed into your skin. The powder is matte but you need alot of dab to make sure it is enough spf to protect your skin. I think it’ll be amazing if it comes in like setting powder case so using sponge or something to apply is more convenient as you can control and know the amount to put on.  ,1.0
 Indah Jeane ," aku pakein ini buat dipake setelah foundation ternyata jadi ga tahan, buat packagingnya juga kurang oke punyaku tumpah karena ga sengaja ngebuka tutup belakangnya ",4.0
 Sukma Goni ," Aku suka banget sama powder sunscreen ini, selain bikin matte ketika digunakan setelah makeup juga sangat flexsible untuk dibawa saat bepergian karena dengan teksturnya yang powder sangat memudahkan untuk re-apply sunscreen apalagi untuk yang suka beraktivitas di outdoor. untuk packaging so far aku nyaman aja sih pakainya, mungkin untuk di harga memang agak pricy tpi ini worht it to buy bangett   ",4.5
 Reni Nurmalita , keren banget ada sunscreen powder kayak gini ..cocok banget buat yang mau re-apply tapi masih pakai makeup.. udah ada brush nya jadi gampang banget pengaplikasiannya. brush nya juga lembut & kemasannya yang kecil cocok banget kalo dibawa bepergian ,5.0
 desi safitri ," Bagus banget jd ga ribet kalau mau reapply sunscreen lagi buat yang makeupan, gada alaesan lagi buat kalian malas pakai sunscreen karna udh ada bedaknya😍🥰 ",5.0
 Ananda risqiana ," Produknya tuh enak banget dipakai, apalagi berbentuk bedak, jadi ga terlalu kelihatan kalau lagi Makai sun powder, pokoknya bagus banget deh, sangat sangat direkomendasikan ",5.0
 febylatus sholihah ," Se bagus itu produknya. Enak banget gausa ribet re apply sunscreen pas lg kluar”. Tinggal brush di muka aja uda slese. Bahan nya bagus juga, aku ngrasa ini produknya efektif banget soalnya tiap hari aku kluar rumah dan panas” an. Suka banget, selalu re stock ini dirumah😂. ",5.0
 denis yulianti ," asliii inii produkk sunscreen powderr bikin aku ga males ngereplay sunscreen😭😍🤭cara pake nya gampang bangttt,udah gitu bisa di replay tanpa hapus makeup duluu, finishnya mate syuka bangett😍❤ ",5.0
 intan maraini ," Bingung sama packagingnya, bingung banget cara pakenya gimana. Trus karna gaada shade jadinya dikulit sawo mateng kaya aku jadi ga cocok banget, krna susah pkenya jadi numpuk bedaknya ",2.3
 indi naswa ," Suka banget serius.kenapa gw baru tau sekarang coba produk ini. Karna se easy itu sekarang ga pake ribet lagi sis buat pake sunscreen dengan kondisi muka kita udah make up an. Sekarang tinggal touch up dikit aja jadi deh. Pas banget nih buat gw yg tinggal di bali,kan panas tuh. Tinggal touch2 dikit jadi. Yg paling suka tekstur powder nya itu,. Pokoknya reccomended bngt sih.  ",5.0
 Agmalita Davany ," kurang higienis klo dipake abis makeupan, dari segi packaging memang unik & praktis. saya kira ada warnanya ternyata saat diaplikasikan tidak ada, dan hanya memberi kesan matte. ",4.0
 dessy Hidy ," bagus bangettt, tapi agak bikin minyakan sih, cuman bagus ringan nyaman. dipakai pokok nya buat digunakan setiap hari nyaman, dan ga bikin kulit jadi jerawatan atau kering. ",4.8
 Amalia Anggraini , menyesal kenapa baru tahu ada sunscreen yang berbentuk bedak soalnya selama ini punya sunscreen yang selalu bikin wajah jadi tambah kusam ini juga bantu Jadi solusi pengaplikasian sunscreen berulang ,5.0
 presti metri , Suka banget sama sunscreennya nggak ribet karena dia powder jadi bisa dipakai di mana aja dan kapan aja teksturnya juga enak dan simple banget bikin make up up tahan seharian tapi kekurangannya suka susah keluar waktu mau di-play jadi harus dipencet banget saran packaging-nya diperbaiki sedikit it ,3.8
 Natasya Ricayani ," Hmmm ini packagingnya ringan dan ringkes sih. Baru nemu sunscreen bentuk powder dgn packaging super travel friendly gini. Tp gatau knp tiap pake sunscreen powder ini aku selalu muncul bruntusan(?) tp ga parah sih. Hm masih blm merasa ngaruh2 bgt sih di wajah aku skrg karena warnanya ga terlalu terlihat, tekstur after application ga terlalu terasa dan ga terlalu keliatan hasilnya ",4.5
 Mariana vina ," bagus bgt buat reaply sunscreen,praktis buat dibawa kemana mana,dan gampang diaplikasiin walaupun awalnya aga susah cuma lama lama gampang ko           ",5.0
 Nispa Kartika ," reapply sunscreen emang jadi ga ribet, tapi ribet nya ada di .... yap bersiin kuasnya. Pas pake ini sekitar 2 mingguan tanpa aku cuci brush nya, auto jerawat an :) bruntusan juga ada, jadi rasanya tiap reapply malah pengen cepet-cepet aku hapus. Aku tetep rekomendasiin karena emang reapply sunscreen jadi praktis, tapi make sure brush nya harus higienis plus ini ga aku jadiin main sunscreen, khusus buat reapply ajjjja ",4.3
 anggun che ," It's really cute with this sunscreen, it has a brush and looks like powder and doesn't spill easily or be afraid to fall off, it's really easy to carry it anywhere. For that love, use n pureee, loveeee n pureee, you have to use puree. ",5.0
 Della Arini , Sunscreen yang sangat praktis dibawa kemana mana. Aku suka pake ini buat touch up selalu dibawa kemana mana lumayan buat ilangin minyak juga pokoknya the best ,5.0
 eka paristin ," sunscreen powder yang mengandung bahan alami yaitu berupa hybrid sunscreen dan natural plant Extract ✨, teksturnya light dan breathable ✨, recommended  ",5.0
 Alona Ningprang , Gila ini inovasi ter OK.. re apply sunscreen jadi praktisss gampil dan malah bikin seger lagi. klo touch up pakai sun screen cream atau lotion lg tuw nyebelin bikin dekil ,4.8
 Nurul Zulfa ," Aw!! BAGUS BANGETTTT!! For the first time beli powder yang udh ada sunscreen nya, jadi gampang banget kalo mau reapply sunscreen tinggal pake powder😘😘 ",5.0
 tuty julia ," Suka banget sama sunscreen ini.  Karena teksturnya yang powder dengan kuas jadi paraktis banget saat Reapply.  Hasilnya matte finish,  bisa mengurangi tampilan kilau minyak di wajah. Cocok banget buat dibawa²  ",4.8
 Ummul Salamah ," Ini powder yang terdebest banget sih menurutku. Selain ada spf nya, powder ini waktu di apply ke wajah tekstur nya ringan sama sekali dan ngurangin minyak diwajah jugaaa. Apalagi aku emang dari pagi s/d sore aktivitasnya diluar teruuussssss. Kemasannya yang minimalis, bikin jadi gampang dibawa kemana-mana🥰 Bakalan jadi powder fav aku sih ini❤️‍🔥 ",5.0
 tiyas park ," Jujurly aku Puas banget sama Sunscreen powder  Dari Npure ini 🤍  formulasinya  dengan sika atau sentel asia tika yang bagus banget untuk kulit dan spf 30 untuk melindungi kulit dari paparan sinat matahri Dari segi packaging, aku suka banget, bener-bener mudah dibawa kemana aja. Dimasukin ke tas main yang kecil pun muat. Ukurannya tuh cuma 2 kali ukuran lipstik, jadi nggak makan banyak ruang. Wadah tabung plastiknya juga ringan dan mudah digenggam. Kuasnya yang lembut juga nyaman di kulit.
Formula sunscreen powder N’PURE ini memang efektif melindungi kulit. Aku udah paka re-apply tiap kali dibutuhkan. Hasilnya memuaskan, kulit wajahku lebih terlindungi dari bahaya sinar matahari Dan pastinya Halal dan BPOM 🤍

 ",5.0
 Ayesha Rizal , Untuk pertama kalinya nemu sunscreen kayak bedak gini dan praktis. Awalnya bingung cara pakainya gimana karene dia kan atas kuas bawah bubuknya. Ternyata dikocok² aja dulu nanti tinggal usap² aja ke muka. Aku pakai ini buat reapply aja sih kayak abis wudlu gitu. Mau reapply sunscreen jadi mudah dengan adanya ini. Kayak pake bedak aja rasanya and so far gak ada masalah di kulit aku. Dan ini mudah dibawa kemana². ,4.5
 Arnetha sary ," Akhirnya ku menemukan sunscreen bentuk powder ini yg lebih praktis pemakaiannnya , sunscreennya juga udah BPOM , HALAL juga😍 jadi aku ga takut lagi deh untuk keluar rumah🥰  ",4.5
